Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,48,20,F:System.Windows.Visibility.Collapsed,,,,,e.Column.Visibility = Visibility.Collapsed;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,48,20,T:System.Windows.Controls.DataGridColumn,,,,,e.Column.Visibility = Visibility.Collapsed;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,48,20,P:System.Windows.Controls.DataGridAutoGeneratingColumnEventArgs.Column,,,,,e.Column.Visibility = Visibility.Collapsed;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,48,20,T:System.Windows.Visibility,,,,,e.Column.Visibility = Visibility.Collapsed;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,48,20,P:System.Windows.Controls.DataGridColumn.Visibility,,,,,e.Column.Visibility = Visibility.Collapsed;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,44,20,T:System.Windows.Controls.DataGridColumn,,,,,e.Column.Header = propertyDisplayName;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,44,20,P:System.Windows.Controls.DataGridAutoGeneratingColumnEventArgs.Column,,,,,e.Column.Header = propertyDisplayName;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,44,20,P:System.Windows.Controls.DataGridColumn.Header,,,,,e.Column.Header = propertyDisplayName;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,38,16,T:System.Windows.Controls.DataGridColumn,,,,,e.Column = column;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,38,16,P:System.Windows.Controls.DataGridAutoGeneratingColumnEventArgs.Column,,,,,e.Column = column;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,35,20,T:System.Windows.Visibility,,,,,column.Visibility = Visibility.Collapsed;
